user_id,feature_name,times_used
1,Trainer Chat,11
1,Reminders,14
1,Progress Tracking,36
1,Meal Plan,17
1,Workout Videos,41
2,Progress Tracking,14
2,Reminders,32
2,Meal Plan,48
2,Workout Videos,24
3,Reminders,15
4,Meal Plan,1
4,Trainer Chat,27
4,Reminders,19
4,Progress Tracking,47
4,Workout Videos,2
5,Reminders,37
5,Meal Plan,47
6,Progress Tracking,49
7,Meal Plan,40
7,Trainer Chat,49
8,Reminders,25
8,Workout Videos,16
8,Trainer Chat,31
8,Progress Tracking,37
9,Meal Plan,17
9,Workout Videos,49
9,Progress Tracking,43
10,Trainer Chat,33
11,Meal Plan,18
11,Reminders,17
11,Progress Tracking,42
12,Reminders,15
12,Trainer Chat,23
13,Trainer Chat,32
13,Reminders,11
14,Progress Tracking,43
14,Reminders,39
14,Trainer Chat,7
14,Workout Videos,15
15,Reminders,12
15,Trainer Chat,25
15,Meal Plan,31
15,Progress Tracking,11
15,Workout Videos,28
16,Trainer Chat,20
16,Workout Videos,41
16,Meal Plan,28
16,Reminders,49
17,Progress Tracking,47
18,Progress Tracking,21
18,Reminders,28
18,Workout Videos,30
18,Trainer Chat,19
19,Workout Videos,2
19,Meal Plan,45
19,Trainer Chat,12
19,Progress Tracking,50
20,Reminders,8
21,Reminders,46
21,Workout Videos,6
21,Progress Tracking,14
21,Meal Plan,10
21,Trainer Chat,11
22,Reminders,39
22,Workout Videos,37
22,Meal Plan,5
23,Trainer Chat,21
23,Reminders,20
23,Meal Plan,12
24,Reminders,40
24,Meal Plan,9
24,Workout Videos,7
24,Progress Tracking,7
24,Trainer Chat,47
25,Trainer Chat,23
25,Meal Plan,26
25,Progress Tracking,17
26,Trainer Chat,27
26,Meal Plan,5
26,Progress Tracking,20
26,Workout Videos,45
26,Reminders,29
27,Progress Tracking,26
27,Reminders,7
27,Trainer Chat,21
27,Meal Plan,23
27,Workout Videos,40
28,Meal Plan,39
29,Progress Tracking,31
29,Meal Plan,13
29,Workout Videos,26
29,Trainer Chat,14
30,Meal Plan,25
30,Workout Videos,42
31,Trainer Chat,48
31,Meal Plan,7
31,Progress Tracking,6
31,Workout Videos,3
31,Reminders,46
32,Trainer Chat,38
33,Trainer Chat,20
33,Progress Tracking,23
33,Reminders,4
34,Meal Plan,8
34,Reminders,33
35,Meal Plan,29
35,Progress Tracking,32
35,Reminders,9
35,Workout Videos,4
35,Trainer Chat,50
36,Meal Plan,48
37,Meal Plan,26
37,Reminders,36
37,Workout Videos,1
37,Progress Tracking,21
38,Progress Tracking,6
38,Workout Videos,6
38,Reminders,4
38,Meal Plan,24
38,Trainer Chat,39
39,Workout Videos,31
39,Trainer Chat,31
39,Reminders,16
39,Progress Tracking,36
39,Meal Plan,30
40,Progress Tracking,45
40,Trainer Chat,25
40,Meal Plan,41
41,Meal Plan,48
41,Trainer Chat,45
41,Workout Videos,9
41,Reminders,12
42,Trainer Chat,29
42,Reminders,14
42,Progress Tracking,27
42,Meal Plan,40
43,Reminders,36
43,Meal Plan,48
44,Workout Videos,17
44,Progress Tracking,45
45,Workout Videos,44
45,Meal Plan,23
46,Workout Videos,5
46,Trainer Chat,27
46,Meal Plan,6
47,Progress Tracking,40
48,Trainer Chat,1
48,Meal Plan,48
48,Workout Videos,6
49,Trainer Chat,40
49,Progress Tracking,35
49,Meal Plan,4
49,Workout Videos,15
49,Reminders,36
50,Meal Plan,1
50,Reminders,42
